timestamp,cadence
1771084178,48
1771084179,49
1771084180,50
1771084181,58
1771084182,64
1771084183,70
1771084184,73
1771084185,74
1771084186,75
1771084187,75
1771084188,75
1771084189,75
1771084190,75
1771084191,75
1771084192,75
1771084193,76
1771084194,76
1771084195,76
1771084196,76
1771084197,75
1771084198,75
1771084199,75
1771084200,75
1771084201,75
1771084202,75
1771084203,76
1771084204,75
1771084205,76
1771084206,76
1771084207,75
1771084208,75
1771084209,76
1771084210,75
1771084211,75
1771084212,75
1771084213,75
1771084214,75
1771084215,74
1771084216,74
1771084217,75
1771084218,75
1771084219,75
1771084220,76
1771084221,77
1771084222,77
1771084223,76
1771084224,76
1771084225,75
1771084226,75
1771084227,75
1771084228,75
1771084229,75
1771084230,74
1771084231,74
1771084232,74
1771084233,75
1771084234,75
1771084235,76
1771084236,76
1771084237,76
1771084238,76
1771084239,75
1771084240,75
1771084241,75
1771084242,77
1771084243,78
1771084244,78
1771084245,78
1771084246,76
1771084247,76
1771084248,76
1771084249,75
1771084250,76
1771084251,76
1771084252,76
1771084253,76
1771084254,76
1771084255,76
1771084256,76
1771084257,76
1771084258,76
1771084259,77
1771084260,76
1771084261,76
1771084262,76
1771084263,76
1771084264,76
1771084265,76
1771084266,76
1771084267,76
1771084268,76
1771084269,76
1771084270,76
1771084271,76
1771084272,76
1771084273,76
1771084274,76
1771084275,77
1771084276,76
1771084277,76
1771084278,76
1771084279,75
1771084280,76
1771084281,76
1771084282,76
1771084283,77
1771084284,76
1771084285,77
1771084286,76
1771084287,76
1771084288,76
1771084289,76
1771084290,76
1771084291,76
1771084292,76
1771084293,76
1771084294,76
1771084295,76
1771084296,76
1771084297,76
1771084298,76
1771084299,75
1771084300,75
1771084301,75
1771084302,75
1771084303,75
1771084304,75
1771084305,75
1771084306,75
1771084307,76
1771084308,76
1771084309,76
1771084310,76
1771084311,75
1771084312,75
1771084313,75
1771084314,76
1771084315,76
1771084316,77
1771084317,77
1771084318,77
1771084319,77
1771084320,76
1771084321,75
1771084322,75
1771084323,75
1771084324,75
1771084325,75
1771084326,75
1771084327,74
1771084328,74
1771084329,74
1771084330,75
1771084331,76
1771084332,76
1771084333,76
1771084334,76
1771084335,76
1771084336,76
1771084337,75
1771084338,75
1771084339,75
1771084340,75
1771084341,75
1771084342,76
1771084343,76
1771084344,77
1771084345,77
1771084346,76
1771084347,75
1771084348,75
1771084349,75
1771084350,75
1771084351,75
1771084352,75
1771084353,75
1771084354,75
1771084355,75
1771084356,75
1771084357,76
1771084358,76
1771084359,76
1771084360,75
1771084361,75
1771084362,75
1771084363,75
1771084364,76
1771084365,76
