timestamp,cadence
1770310672,79
1770310674,80
1770310676,80
1770310678,81
1770310680,81
1770310682,80
1770310684,80
1770310686,80
1770310688,80
1770310690,80
1770310692,80
1770310694,80
1770310696,81
1770310698,81
1770310700,81
1770310702,80
1770310704,79
1770310706,80
1770310708,80
1770310710,80
1770310712,80
1770310714,81
1770310716,81
1770310718,81
1770310720,80
1770310722,80
1770310724,80
1770310726,81
1770310728,82
1770310730,81
1770310732,81
1770310734,81
1770310736,81
1770310738,80
1770310740,80
1770310742,80
1770310744,80
1770310746,80
1770310748,79
1770310750,80
1770310752,80
1770310754,80
1770310756,80
1770310758,80
1770310760,79
1770310762,81
1770310764,82
1770310766,82
1770310768,81
1770310770,81
1770310772,81
1770310774,80
1770310776,80
1770310778,80
1770310780,81
1770310782,82
1770310784,81
1770310786,81
1770310788,81
1770310790,81
1770310792,81
1770310794,80
1770310796,81
1770310798,82
1770310800,82
1770310802,81
1770310804,80
1770310806,80
1770310808,81
1770310810,81
1770310812,81
1770310814,80
1770310816,80
1770310818,80
1770310820,80
1770310822,80
1770310824,80
1770310826,80
1770310828,81
1770310830,81
1770310832,81
1770310834,81
1770310836,81
1770310838,81
1770310840,82
1770310842,82
1770310844,82
1770310846,81
1770310848,80
1770310850,80
1770310852,80
1770310854,80
1770310856,81
1770310858,81
1770310860,80
1770310862,80
1770310864,80
1770310866,80
1770310868,79
1770310870,79
1770310872,80
1770310874,81
1770310876,81
1770310878,81
1770310880,80
1770310882,81
1770310884,81
1770310886,81
1770310888,81
1770310890,82
1770310892,82
1770310894,81
1770310896,81
1770310898,82
1770310900,81
1770310902,81
1770310904,81
1770310906,81
1770310908,81
1770310910,81
1770310912,81
1770310914,81
1770310916,80
1770310918,81
1770310920,81
1770310922,80
1770310924,80
1770310926,80
1770310928,81
1770310930,81
1770310932,81
1770310934,81
1770310936,82
1770310938,82
1770310940,83
1770310942,83
1770310944,82
1770310946,81
1770310948,80
1770310950,80
1770310952,81
1770310954,81
1770310956,81
1770310958,82
1770310960,82
1770310962,82
1770310964,82
1770310966,82
1770310968,82
1770310970,81
1770310972,81
1770310974,81
1770310976,81
1770310978,82
1770310980,81
1770310982,82
1770310984,81
1770310986,81
1770310988,81
1770310990,80
1770310992,80
1770310994,80
1770310996,80
1770310998,80
1770311000,81
1770311002,82
1770311004,82
1770311006,81
1770311008,81
1770311010,82
1770311012,83
1770311014,83
1770311016,82
1770311018,81
1770311020,82
1770311022,82
1770311024,82
1770311026,82
1770311028,82
1770311030,82
1770311032,82
1770311034,82
1770311036,81
1770311038,81
1770311040,81
1770311042,81
1770311044,80
1770311046,80
1770311048,81
1770311050,81
1770311052,81
1770311054,81
1770311056,82
1770311058,82
1770311060,81
1770311062,81
1770311064,80
1770311066,81
1770311068,81
1770311070,81
1770311072,81
1770311074,80
1770311076,81
